"Dataset","Method","VAF_First_3","Mean_Diff_1_2"
"Holzinger-Swineford 1939","UNROTATED","69.11%","0.1810"
"Holzinger-Swineford 1939","VARIMAX","32.77%","0.6629"
"Holzinger-Swineford 1939","QUARTIMAX","49.91%","0.6463"
"Holzinger-Swineford 1939","EQUAMAX","33.25%","0.6654"
"Holzinger-Swineford 1939","CF-VARIMAX","32.77%","0.6629"
"Holzinger-Swineford 1939","VARIMIN","57.08%","0.1381"
"Holzinger-Swineford 1939","GEOMINT","57.63%","0.5065"
"Holzinger-Swineford 1939","ENTROPY","48.96%","0.6262"
"Holzinger-Swineford 1939","INFOMAXT","33.43%","0.6608"
"Holzinger-Swineford 1939","BIFACTORT","51.29%","0.3803"
"Holzinger-Swineford 1939","BENTLERT","Convergence Failed","Convergence Failed"
"IPIP Big-Five Inventory","UNROTATED","63.82%","0.1540"
"IPIP Big-Five Inventory","VARIMAX","33.32%","0.7050"
"IPIP Big-Five Inventory","QUARTIMAX","34.72%","0.7015"
"IPIP Big-Five Inventory","EQUAMAX","33.19%","0.7036"
"IPIP Big-Five Inventory","CF-VARIMAX","33.32%","0.7050"
"IPIP Big-Five Inventory","VARIMIN","50.55%","0.0881"
"IPIP Big-Five Inventory","GEOMINT","49.78%","0.5928"
"IPIP Big-Five Inventory","ENTROPY","42.77%","0.6497"
"IPIP Big-Five Inventory","INFOMAXT","33.48%","0.6965"
"IPIP Big-Five Inventory","BIFACTORT","44.40%","0.5152"
"IPIP Big-Five Inventory","BENTLERT","Convergence Failed","Convergence Failed"
